0.422,0.386,0.349,0.319,0.309
0.381,0.341,0.294,0.29,0.266
0.373,0.345,0.305,0.29,0.228
0.336,0.326,0.283,0.262,0.228
0.34,0.318,0.289,0.259,0.231
